"","user_id","activity_date","product_group","n_purchases","gold_spend"
"397",300244,2024-04-07,"Boost",1,99
"398",273863,2024-04-07,"Weapon",3,22
"399",303872,2024-04-07,"Weapon",1,15
"400",273251,2024-04-07,"Weapon",1,13
"401",290149,2024-04-07,"Boost",1,49
"402",306767,2024-03-23,"Boost",1,86
"403",286069,2024-03-23,"Weapon",4,24
"404",305012,2024-03-23,"Weapon",2,10
"405",291241,2024-03-23,"Weapon",4,19
"406",295203,2024-03-23,"Weapon",2,26
"407",301294,2024-03-23,"Weapon",1,37
"408",302651,2024-03-23,"Weapon",1,15
"409",300257,2024-03-23,"Boost",1,2
"410",274807,2024-03-23,"Boost",1,88
"411",280062,2024-03-23,"Boost",2,101
"412",277925,2024-03-23,"Weapon",1,15
"413",301948,2024-03-23,"Weapon",1,30
"414",285793,2024-04-13,"Weapon",2,10
"415",276959,2024-04-13,"Weapon",3,34
"416",288460,2024-04-13,"Weapon",2,30
"417",285813,2024-04-13,"Boost",2,4
"418",305899,2024-04-13,"Weapon",5,16
"419",280979,2024-04-13,"Weapon",2,36
"420",290036,2024-04-13,"Weapon",4,19
"421",297927,2024-04-13,"Weapon",1,15
"422",306101,2024-04-13,"Weapon",2,30
"423",289789,2024-04-13,"Weapon",1,9
"424",276465,2024-03-12,"Weapon",5,50
"425",283810,2024-03-12,"Boost",1,2
"426",299508,2024-03-12,"Weapon",5,25
"427",291788,2024-03-12,"Weapon",1,3
"428",274843,2024-03-12,"Weapon",5,65
"429",272618,2024-03-12,"Weapon",2,30
"430",288747,2024-03-12,"Boost",1,100
"431",294201,2024-03-12,"Gear",2,1437
"432",287960,2024-03-12,"Weapon",1,15
"433",301973,2024-03-12,"Weapon",3,31
"434",281697,2024-03-12,"Weapon",1,1
"435",286815,2024-03-12,"Weapon",1,5
"436",295367,2024-04-02,"Boost",1,49
"437",303694,2024-04-02,"Weapon",1,11
"438",281676,2024-04-02,"Weapon",3,32
"439",298741,2024-04-02,"Weapon",3,43
"440",300924,2024-04-02,"Weapon",1,324
"441",281176,2024-04-02,"Weapon",3,42
"442",288083,2024-04-02,"Weapon",3,45
"443",303781,2024-04-02,"Weapon",1,12
"444",302924,2024-04-02,"Weapon",4,50
"445",282894,2024-04-02,"Weapon",3,25
"446",280171,2024-04-02,"Weapon",1,15
"447",273265,2024-04-02,"Weapon",1,49
"448",282340,2024-04-02,"Weapon",3,18
"449",277307,2024-04-25,"Weapon",3,3
"450",276076,2024-04-25,"Weapon",4,197
"451",290731,2024-04-25,"Boost",1,2
"452",296368,2024-04-25,"Boost",1,49
"453",305728,2024-05-01,"Weapon",7,85
"454",275459,2024-05-01,"Weapon",1,10
"455",293076,2024-05-01,"Boost",1,100
"456",273285,2024-05-01,"Weapon",1,2
"457",275734,2024-03-07,"Weapon",2,7
"458",275547,2024-03-07,"Weapon",5,53
"459",281869,2024-03-07,"Weapon",2,26
"460",287520,2024-03-07,"Weapon",2,80
"461",293050,2024-03-07,"Weapon",1,5
"462",303103,2024-03-07,"Weapon",1,36
"463",307368,2024-03-07,"Boost",1,4
"464",294577,2024-03-07,"Weapon",1,18
"465",291455,2024-03-07,"Weapon",2,26
"466",307501,2024-04-09,"Weapon",5,74
"467",286996,2024-04-09,"Weapon",3,25
