"","user_id","activity_date","product_group","dollar_purchase_value","purchase_number"
"272",278294,2024-03-29,"Remove Ads",4.99,5
"273",277453,2024-04-30,"Promotion",4.99,11
"274",284769,2024-03-26,"Promotion",4.99,1
"275",287315,2024-03-19,"Promotion",4.99,1
"276",274596,2024-04-29,"Gold",4.99,4
"277",308639,2024-04-30,"Promotion",4.99,2
"278",306713,2024-04-19,"Gold",19.99,13
"279",280034,2024-03-31,"Promotion",4.99,1
"280",306369,2024-04-20,"Gold",4.99,18
"281",306640,2024-03-20,"Promotion",4.99,5
"282",299527,2024-04-10,"Gold",4.99,44
"283",299527,2024-04-10,"Promotion",4.99,45
"284",274469,2024-04-14,"Promotion",4.99,23
"285",280323,2024-03-18,"Gold",4.99,2
"286",302320,2024-03-13,"Gold",4.99,1
"287",279199,2024-03-23,"Gold",4.99,59
"288",298034,2024-03-31,"Gold",4.99,1
"289",305084,2024-03-06,"Promotion",4.99,2
"290",307330,2024-03-03,"Gold",4.99,2
"291",307956,2024-03-23,"Promotion",4.99,1
"292",277101,2024-04-16,"Remove Ads",4.99,2
"293",287956,2024-03-16,"Promotion",4.99,1
"294",294197,2024-04-24,"Remove Ads",4.99,6
"295",308370,2024-03-17,"Gold",4.99,6
"296",282387,2024-03-19,"Promotion",4.99,19
"297",282798,2024-04-09,"Gold",4.99,26
"298",288936,2024-04-10,"Gold",9.99,7
"299",299786,2024-04-26,"Gold",4.99,1
"300",287976,2024-04-28,"Gold",4.99,1
"301",294893,2024-04-01,"Gold",4.99,1
"302",286911,2024-03-20,"Promotion",4.99,1
"303",308082,2024-03-29,"Promotion",4.99,1
"304",289643,2024-04-17,"Promotion",4.99,1
"305",293480,2024-03-13,"Gold",4.99,3
"306",284707,2024-04-25,"Gold",9.99,36
"307",277867,2024-04-10,"Promotion",4.99,2
"308",282881,2024-03-04,"Promotion",4.99,1
"309",304987,2024-04-07,"Remove Ads",4.99,14
"310",289867,2024-04-26,"Gold",4.99,11
"311",273998,2024-03-15,"Promotion",4.99,1
"312",280694,2024-03-30,"Promotion",4.99,1
"313",299427,2024-03-14,"Gold",9.99,10
"314",293903,2024-03-19,"Promotion",4.99,5
"315",304865,2024-04-16,"Remove Ads",NA,20
"316",304936,2024-04-19,"Gold",4.99,5
"317",301743,2024-04-15,"Gold",4.99,5
"318",275773,2024-03-15,"Gold",4.99,16
"319",287239,2024-03-26,"Promotion",4.99,1
"320",284891,2024-03-22,"Gold",4.99,5
"321",294939,2024-05-01,"Gold",4.99,5
"322",297847,2024-04-18,"Promotion",9.99,13
"323",304831,2024-03-15,"Gold",4.99,6
"324",272243,2024-03-24,"Promotion",4.99,2
"325",309213,2024-04-09,"Promotion",4.99,9
"326",298284,2024-04-03,"Remove Ads",4.99,5
"327",288936,2024-04-09,"Gold",9.99,5
"328",292718,2024-03-09,"Remove Ads",4.99,1
"329",308202,2024-04-10,"Gold",9.99,5
"330",304092,2024-03-19,"Promotion",4.99,2
"331",278736,2024-03-23,"Promotion",4.99,1
"332",282217,2024-03-26,"Promotion",4.99,3
"333",296029,2024-04-09,"Gold",4.99,2
"334",276521,2024-03-21,"Promotion",4.99,1
"335",281818,2024-04-30,"Promotion",4.99,5
"336",299582,2024-03-19,"Promotion",4.99,1
"337",281020,2024-04-07,"Gold",4.99,3
"338",277867,2024-04-10,"Promotion",4.99,3
"339",300349,2024-03-11,"Gold",4.99,1
"340",287249,2024-04-06,"Remove Ads",4.99,10
"341",289886,2024-03-19,"Gold",4.99,1
"342",298922,2024-04-22,"Gold",4.99,3
"343",300029,2024-03-16,"Gold",4.99,3
"344",275976,2024-03-17,"Gold",4.99,5
"345",305474,2024-04-06,"Promotion",4.99,1
"346",284800,2024-03-31,"Promotion",4.99,2
"347",301461,2024-04-02,"Promotion",4.99,4
"348",295371,2024-04-14,"Gold",4.99,3
"349",287037,2024-04-22,"Promotion",4.99,16
